ticker,company_name,country,ipo_year,market_cap,subsector
ROSEU,Rosehill Resources Inc.,United States,2016.0,,Oil & Gas Production
ROSEW,Rosehill Resources Inc.,United States,2016.0,,Oil & Gas Production
RST,Rosetta Stone,United States,2009.0,354090000.0,Computer Software: Prepackaged Software
ROST,"Ross Stores, Inc.",United States,1985.0,34960000000.0,Clothing/Shoe/Accessory Stores
RDC,Rowan Companies plc,United States,,1640000000.0,Oil & Gas Production
RY,Royal Bank Of Canada,Canada,,112570000000.0,Commercial Banks
RY^T,Royal Bank Of Canada,Canada,,,
RBS,Royal Bank Scotland plc (The),United Kingdom,,37770000000.0,Commercial Banks
RBS^S,Royal Bank Scotland plc (The),United Kingdom,,,
RCL,Royal Caribbean Cruises Ltd.,United States,1993.0,24650000000.0,Marine Transportation
RDS.A,Royal Dutch Shell PLC,,,,
RDS.B,Royal Dutch Shell PLC,,,,
RGLD,"Royal Gold, Inc.",United States,,5340000000.0,Precious Metals
RGT,"Royce Global Value Trust, Inc.",,2013.0,109830000.0,
RMT,"Royce Micro-Cap Trust, Inc.",United States,,401760000.0,
